Entity,Code,Year,Richest 1%,Next 9%,Middle 40%,Poorest 50%,Life expectancy
Saint Vincent and the Grenadines,VCT,2023,21.2,27.37,37.38,14.06,71.2301
Portugal,PRT,2023,9.74,25.32,45.039997,19.89,82.3599
South Africa,ZAF,2023,19.22,45.86,28.64,6.27,66.1387
Puerto Rico,PRI,2023,21.2,27.37,37.38,14.06,81.6902
Qatar,QAT,2023,24.05,32.24,33.08,10.61,82.368
Argentina,ARG,2023,12.36,31.009998,41.14,15.49,77.3947
Armenia,ARM,2023,15.81,23.83,39.85,20.51,75.6827
Romania,ROU,2023,14.57,26.589998,43.54,15.29,75.9381
Senegal,SEN,2023,12.85,32.18,38.73,16.24,68.6829
Solomon Islands,SLB,2023,16.03,32.38,35.460003,16.12,70.5277
Rwanda,RWA,2023,19.68,33.68,33.85,12.79,67.7852
Saint Kitts and Nevis,KNA,2023,21.2,27.37,37.38,14.06,72.1447
Saint Lucia,LCA,2023,21.2,27.37,37.38,14.06,72.6968
Antigua and Barbuda,ATG,2023,21.2,27.37,37.38,14.06,77.5976
Tunisia,TUN,2023,22.47,30.06,34.6,12.88,76.5077
Grenada,GRD,2023,21.2,27.37,37.38,14.06,75.2052
Georgia,GEO,2023,18.33,26.31,40.18,15.18,74.4965
Germany,DEU,2023,12.72,24.01,43.34,19.93,81.3777
Ghana,GHA,2023,15.08,33.44,38.64,12.84,65.4979
Eswatini,SWZ,2023,19.22,40.31,32.09,8.38,64.1227
Uganda,UGA,2023,21.43,31.189999,34.27,13.11,68.2523
Ethiopia,ETH,2023,13.63,31.23,38.170002,16.97,67.315
Gambia,GMB,2023,15.7,31.59,37.74,14.97,65.8603
Samoa,WSM,2023,16.03,32.38,35.460003,16.12,71.6982
San Marino,SMR,2023,11.5,24.169998,45.85,18.49,85.7062
Sao Tome and Principe,STP,2023,15.78,34.21,35.93,14.09,69.7182
Saudi Arabia,SAU,2023,24.89,29.81,33.32,11.98,78.7321
Andorra,AND,2023,11.5,24.169998,45.85,18.49,84.0406
Angola,AGO,2023,25.86,31.86,32.780003,9.51,64.617
Anguilla,AIA,2023,21.2,27.37,37.38,14.06,79.3115
Turkey,TUR,2023,23.95,31.619999,30.35,14.07,77.1557
Turkmenistan,TKM,2023,19.71,28.92,38.41,12.96,70.0727
World,OWID_WRL,2023,20.65,32.870003,38.170002,8.32,73.1694
Sint Maarten (Dutch part),SXM,2023,21.2,27.37,37.38,14.06,76.371
Slovakia,SVK,2023,9.95,18.69,47.23,24.13,78.3414
Slovenia,SVN,2023,7.86,21.58,46.36,24.2,81.6034
Zambia,ZMB,2023,17.88,37.97,34.78,9.36,66.3487
Singapore,SGP,2023,13.62,31.55,36.28,18.55,83.7362
Afghanistan,AFG,2023,15.16,25.11,39.92,19.81,66.0346
